00:00:08.815 [main] INFO  com.xiongliang.SpringBootRedisApplication - Starting SpringBootRedisApplication on DESKTOP-13IVK0R with PID 28244 (E:\works\spring-boot-parent\spring-boot-redis\target\classes started by ASUS in E:\works\spring-boot-parent)
00:00:08.819 [main] INFO  com.xiongliang.SpringBootRedisApplication - No active profile set, falling back to default profiles: default
00:00:09.440 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
00:00:09.442 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
00:00:09.469 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 repository interfaces.
00:00:09.704 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.xiongliang.config.RedisConfig$$EnhancerBySpringCGLIB$$66ad25cf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
00:00:10.017 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
00:00:10.029 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
00:00:10.038 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
00:00:10.038 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
00:00:10.147 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:00:10.147 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1276 ms
00:00:10.619 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
00:00:10.888 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
00:00:10.924 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
00:00:10.927 [main] INFO  com.xiongliang.SpringBootRedisApplication - Started SpringBootRedisApplication in 2.704 seconds (JVM running for 3.758)
00:00:16.425 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
00:00:16.426 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
00:00:16.432 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
00:00:16.548 [http-nio-8080-exec-2] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
00:00:16.550 [http-nio-8080-exec-2] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
